word,value
silke,2.5080821287131694e-05
weil,0.00015671326500330682
microsoft,5.179364865244797e-05
schauberger,3.864742270732087e-05
anita,0.0012465482105260828
genau,4.140495021873621e-05
at,0.01422609833090338
staatssimulation,4.0817102578609065e-05
qualifikation,0.00010338321179200289
gerald,4.903634714935256e-05
"""null",0.00019515660219773464
duty,0.0007734393442172965
actual,0.00720418809400131
[tatsache,1.036428953515977e-05
this,0.09688941485725909
opus,0.03333070354572434
wolfgang,1.308000550738882e-05
autismus,1.1723729579513776e-05
deutsche,0.00028675099401408513
rockt,4.3664807409674814e-07
da,0.0006311589705244546
implizit,4.0817102578609065e-05
regelung?,4.203551343132934e-05
schweizer,9.837565845156574e-05
gta,0.005223419197993864
zuckerlüge,2.904319915207175e-05
problem!,2.0766548468067083e-05
wahre,4.681626742272091e-05
klüger?,9.203714211508522e-05
wecker:,0.00028853148755846096
konstantin,0.00028853148755846096
daniel,0.0012216307932542574
maybrit,2.9875135777718815e-05
break,0.3904909933883223
dittberner,0.003582953741398614
zu,0.0003007250884351006
produzent,6.0099454409723074e-05
henning,3.1867173109545284e-08
wo,7.705030441248197e-05
busters,2.546797353916468e-05
insider,8.364319311303904e-05
feld,1.2204449275996066e-06
einer,4.028756508502279e-05
problem,2.291566158224202e-05
(live,0.00731864345338648
p.m.,0.00022898462349095662
better,0.001278129257102602
hd),0.005495272627591716
plan!,1.5109108203683129e-05
erklärung,1.92674352819989e-05
merkel:,4.590907002653854e-06
nazis,0.002492903861963589
welzer,1.980849919990139e-05
geschichte,0.00021009823823635272
schön,0.01001290377778001
season,0.005198715697596849
talent,0.0007811589973968438
lettland!,0.006808706305337456
strohm:,3.4521640827074426e-05
world,0.01521451057380535
enteignung,5.3362598409373243e-05
um,2.1302866211251134e-05
coeln:,5.440472277255135e-06
choir),0.00011475911456715079
kinder,0.0012346532796442251
"muscheln,",9.90865676218925e-06
05,4.068149758665356e-09
geil,0.011621709197890927
ausgabe,1.9323711353660438e-07
sollte!,9.272601547421922e-05
typisch,3.679777061704769e-05
einsplus,2.1302866211251134e-05
wahnvorstellung?,0.00010589258216813965
tegan,0.02950474565874145
menschheit,0.00028929697773804984
newtons,0.00023665783196075927
fluch,3.969971744489565e-05
men,0.0031109920933217717
(official,0.046797999889338686
denk,0.0008222711538371162
cooler?,1.2229536199507835e-05
true,0.014577694615033152
15.2.16,1.4443287693181566e-05
jörg,2.1113697247473195e-06
usa,8.931978758253671e-05
#76,6.929618496414588e-05
asklepios,2.9966669147288785e-05
osm?,8.30973830204181e-05
zukunft,6.8439839439946826e-06
rund?,5.410774784016878e-05
/,9.581102904120711e-05
wanz,0.5812815806482369
(portrait),5.163702488673936e-05
corporate,2.872012025873774e-05
regen,1.8068009128152397e-05
ryan,0.5812815806482369
illuminati,0.010124469394786608
netz,8.509484455192279e-05
